Id,Home Ownership,Annual Income,Years in current job,Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,,Bankruptcies,Current Credit Balance,Monthly Debt,Credit Score
3211,Home Mortgage,1228160,10+ years,0,9,25.7,648604,0,,0,301359,16273,730
3212,Rent,853480,,0,11,23.4,463650,0,,0,309529,9033,741
3213,Rent,878712,10+ years,0,4,13.4,348480,0,,0,179075,15744,745
3214,Rent,,10+ years,0,10,15,503558,0,,0,343121,9235,
3215,Home Mortgage,2824065,6 years,0,18,15.9,1079430,1,,1,212553,22569,732
3216,Own Home,1222536,5 years,0,5,6.2,633908,0,,0,20254,3291,721
3217,Rent,1946626,10+ years,0,16,19.1,1955998,1,,1,202711,13091,745
3218,Rent,,< 1 year,0,7,20,206536,0,,0,140201,14083,
3219,Home Mortgage,,10+ years,0,3,18.5,0,0,,0,0,0,
3220,Own Home,1685547,5 years,0,12,18.5,892540,0,,0,271339,18681,724
3221,Rent,,5 years,0,2,15.6,135498,0,,0,71022,2077,
3222,Home Mortgage,660934,5 years,0,16,30.9,410344,1,,1,150252,13274,713
3223,Rent,1175568,5 years,0,5,12.7,830192,0,,0,445968,7671,720
3224,Home Mortgage,,10+ years,0,9,27.3,564080,0,,0,245043,12264,
3225,Rent,,5 years,0,13,18.3,1519386,0,,0,1032688,28961,
3226,Rent,492214,3 years,0,4,20,45364,0,,0,35340,9266,741
3227,Home Mortgage,2926361,10+ years,0,10,25.7,652872,0,,0,404852,28532,709
3228,Home Mortgage,1129113,1 year,0,10,28,1075690,0,,0,346522,20606,742
3229,Rent,2271811,3 years,0,18,14.8,823020,1,,1,158498,26315,727
3230,Own Home,,10+ years,0,10,18.1,608806,0,,0,340176,23707,
3231,Rent,582369,3 years,0,8,19.6,226798,0,,0,166098,9910,688
3232,Home Mortgage,743660,5 years,0,11,33.6,1622940,0,,0,993757,21070,704
3233,Home Mortgage,1782200,10+ years,0,19,21.4,383856,0,,0,153159,27030,684
3234,Own Home,932273,3 years,0,19,30.7,903826,0,,0,567473,18739,732
3235,Home Mortgage,1726492,10+ years,0,7,18,965030,0,,0,441712,21437,748
3236,Rent,973655,5 years,0,11,11.3,277486,0,,0,111682,18905,682
3237,Own Home,1005195,10+ years,0,8,10.3,377784,0,,0,261345,21109,671
3238,Rent,1761813,10+ years,0,18,27.9,1932766,0,,0,1086648,37438,744
3239,Home Mortgage,2058365,< 1 year,0,24,10.5,792968,0,,0,609501,49058,6320
3240,Rent,944300,10+ years,0,11,14.8,793078,0,,0,161652,8499,740
3241,Home Mortgage,699257,3 years,0,11,34.8,472582,0,,0,298338,10022,739
3242,Rent,538441,2 years,0,10,8.5,411092,0,,0,48279,2001,718
3243,Home Mortgage,768151,10+ years,0,4,19,141768,0,,0,94392,9730,669
3244,Home Mortgage,1126434,10+ years,0,8,28.5,281182,0,,0,37145,6796,744
3245,Rent,748220,10+ years,0,15,20,515438,0,,0,271548,20638,7190
3246,Home Mortgage,520524,6 years,0,12,14,589336,0,,0,248881,14488,6900
3247,Own Home,1630504,6 years,0,9,18,917070,0,,0,71288,5761,743
3248,Rent,1301253,6 years,0,9,20.4,470074,0,,0,267539,18109,725
3249,Home Mortgage,1357113,3 years,0,9,19.4,2251040,0,,0,13604,7713,634
3250,Rent,1352002,< 1 year,0,6,5.7,149996,0,,0,46246,31321,715
3251,Home Mortgage,1675819,10+ years,0,10,13,789206,0,,0,629793,20249,663
3252,Rent,832770,< 1 year,0,7,16.5,636856,0,,,52250,1145,750
3253,Home Mortgage,1068104,10+ years,0,5,20.9,238348,1,,1,202559,14348,657
3254,Rent,1046045,10+ years,0,6,14.1,150964,0,,0,120726,24233,708
3255,Home Mortgage,483607,2 years,0,25,10.9,176682,1,,1,44859,2398,705
3256,Home Mortgage,1324984,3 years,0,15,11.4,356554,0,,0,115482,18881,740
3257,Home Mortgage,1097953,3 years,0,9,12.2,343552,1,,1,265829,15280,722
3258,Home Mortgage,1469555,6 years,0,12,9.1,584276,0,,0,438482,22778,710
3259,Rent,1408242,10+ years,0,11,12.3,473352,0,,0,147573,21358,668
3260,Rent,4545408,2 years,0,11,10.3,867548,0,,0,280231,40151,711
3261,Rent,574864,9 years,0,18,15,575366,0,,0,180386,10300,7290
3262,Home Mortgage,1673672,5 years,0,14,14.8,723844,0,,0,187549,18968,708
3263,Rent,862277,10+ years,0,11,38.3,618772,1,,1,297654,8623,737
3264,Home Mortgage,,9 years,0,5,14.2,203808,0,,0,138700,9491,
3265,Own Home,741646,7 years,0,15,12.9,337700,0,,0,143203,11619,712
3266,Rent,1016766,7 years,0,15,14.5,536404,0,,0,40774,12371,742
3267,Home Mortgage,1499347,8 years,0,14,15.6,1032856,0,,0,535211,32361,699
3268,Home Mortgage,,5 years,0,11,20.1,551716,0,,0,398810,15275,
3269,Rent,6133922,9 years,0,6,13.6,424864,0,,0,208050,40637,740
3270,Rent,1037400,7 years,0,16,15.9,729718,0,,0,360487,18241,688
3271,Rent,1305794,2 years,0,2,9.5,17270,0,,0,13737,1404,706
3272,Home Mortgage,853803,3 years,0,14,16.4,749232,0,,0,535135,16578,608
3273,Rent,974909,< 1 year,0,12,15.4,412060,0,,0,133456,10643,733
3274,Rent,3484429,10+ years,0,15,19.5,1218646,0,,0,806189,49072,741
3275,Rent,,< 1 year,0,9,9.3,447062,0,,0,203471,19619,
3276,Own Home,,9 years,0,14,27.1,1635590,1,,0,1017032,15295,
3277,Home Mortgage,3016896,2 years,0,15,22.3,2102936,0,,0,317832,11741,742
3278,Home Mortgage,1711824,10+ years,0,8,17.2,590260,0,,0,474601,19686,736
3279,Home Mortgage,1156758,5 years,0,14,25.8,1349414,0,,0,553565,22364,672
3280,Home Mortgage,1135098,< 1 year,0,10,11,288332,0,,0,21413,6432,7240
3281,Rent,765852,1 year,0,16,15.9,381414,0,,0,280991,20423,727
3282,Own Home,899783,5 years,0,7,29,216348,1,,1,59964,7483,732
3283,Rent,,10+ years,0,14,20,1163008,0,,0,633783,21002,
3284,Rent,266000,,0,10,21.4,176682,3,,1,46075,3658,672
3285,Home Mortgage,1316567,3 years,0,17,14.5,307252,0,,0,135318,28087,659
3286,Rent,1075286,5 years,0,10,16,472604,0,,0,304893,20699,697
3287,Rent,747232,2 years,0,7,12.8,185900,0,,0,50578,12018,737
3288,Rent,1184194,10+ years,0,8,12.3,206866,0,,0,96292,12631,720
3289,Home Mortgage,,2 years,0,12,31.4,1215038,0,,0,118579,22099,
3290,Rent,928435,10+ years,1,7,13.1,96624,2,,1,26372,10987,735
3291,Home Mortgage,601312,3 years,0,11,15.7,929588,2,,0,69844,9972,741
3292,Home Mortgage,,5 years,0,18,20.4,1259896,0,,0,467875,24550,
3293,Home Mortgage,2138716,10+ years,0,7,34.8,273614,1,,1,160683,22813,743
3294,Home Mortgage,721012,,0,9,30.4,245036,0,,0,191710,8592,736
3295,Home Mortgage,1761699,2 years,0,13,12.9,820534,0,,0,481878,20113,733
3296,Rent,,5 years,0,7,12.1,322014,0,,0,132107,3839,
3297,Rent,665532,1 year,0,4,8.8,83666,0,,0,59774,4443,727
3298,Home Mortgage,,< 1 year,0,7,11.7,281358,0,,0,23579,10143,
3299,Home Mortgage,1569780,10+ years,0,12,22.5,5469992,0,,0,496033,19138,751
3300,Home Mortgage,1873970,1 year,0,4,30.2,315810,0,,0,270009,12118,737
3301,Home Mortgage,1922420,8 years,0,9,15.8,293832,0,,0,205542,26593,740
3302,Own Home,1562959,2 years,0,10,11.5,988020,0,,0,394212,27222,728
3303,Home Mortgage,785954,9 years,0,10,20.6,282062,0,,0,80142,14999,714
3304,Rent,,10+ years,0,10,17.5,563376,0,,0,425239,12396,
3305,Home Mortgage,,1 year,0,8,34.5,253462,1,,1,112081,12983,
3306,Rent,1173611,4 years,0,9,16,682946,0,,0,326743,10562,742
3307,Home Mortgage,1365188,2 years,0,16,21.6,1705550,0,,0,138453,5210,713
3308,Home Mortgage,1067572,1 year,0,11,8.9,545930,0,,0,310232,8621,713
3309,Rent,713260,6 years,0,10,13.8,497618,0,,0,261307,10461,735
3310,Rent,191577,10+ years,0,3,24.3,270754,0,,0,7942,441,747
3311,Home Mortgage,1217957,10+ years,0,11,27.6,345664,1,,1,223896,8110,710
3312,Rent,771856,5 years,0,12,14.6,1705858,0,,0,499434,14665,715
3313,Own Home,,10+ years,0,13,27,618926,0,,0,328738,19130,
3314,Rent,,1 year,0,15,14.2,0,0,,0,0,12051,
3315,Rent,713336,10+ years,0,13,16.7,211486,1,,1,16264,11235,711
3316,Home Mortgage,,9 years,0,17,28.4,6619316,0,,0,3944514,65905,
3317,Home Mortgage,2083825,< 1 year,0,12,12.6,1243396,0,,0,434910,22575,733
3318,Home Mortgage,649648,10+ years,0,15,16.6,741906,0,,0,395333,12343,738
3319,Home Mortgage,,10+ years,0,5,29.5,998030,0,,0,305995,4519,
3320,Rent,,3 years,0,4,13.4,174438,0,,0,132107,9872,
3321,Home Mortgage,1516960,,0,14,19.7,893640,0,,0,608931,21743,740
3322,Rent,948385,8 years,0,9,19.8,638726,0,,0,310004,17071,704
3323,Rent,1518024,8 years,0,11,17.8,265716,0,,0,209304,20924,710
3324,Rent,754300,1 year,0,15,11.3,746746,0,,0,281827,17098,714
3325,Home Mortgage,1854799,3 years,0,9,19.4,967758,0,,0,534907,22876,747
3326,Home Mortgage,1554884,2 years,0,11,15.1,541882,0,,0,193287,21639,750
3327,Home Mortgage,1884610,10+ years,0,12,22.3,1057716,0,,0,667755,37378,736
3328,Rent,1298346,,0,8,4.9,275044,0,,0,45600,6881,689
3329,Rent,764560,8 years,0,10,13.8,301202,1,,1,67108,23956,660
3330,Rent,,10+ years,0,11,20.3,234102,1,,1,140923,32954,
3331,Home Mortgage,1158164,2 years,0,8,17.9,525470,0,,0,309966,22102,742
3332,Home Mortgage,1815830,4 years,0,18,13,2935086,0,,0,1462601,42521,732
3333,Rent,1814158,3 years,0,11,18.8,647350,0,,0,494228,13258,712
3334,Home Mortgage,,10+ years,0,19,21.6,1613568,0,,0,220172,40162,
3335,Rent,768056,1 year,0,10,19,593934,0,,0,186713,17665,695
3336,Rent,2432950,3 years,0,7,17.7,360712,0,,0,306850,17152,637
3337,Home Mortgage,,10+ years,0,9,33.8,1080794,0,,0,214681,4928,
3338,Home Mortgage,919942,2 years,0,15,22.5,703516,0,,0,281314,12419,733
3339,Rent,483227,7 years,0,9,15.2,256146,0,,0,187359,11114,710
3340,Home Mortgage,879377,2 years,0,13,13.8,520102,0,,0,123082,10977,733
3341,Rent,1496402,4 years,0,19,14.7,458876,0,,0,208848,14465,7150
3342,Home Mortgage,1478086,4 years,0,11,11.2,490622,0,,0,175427,26359,717
3343,Rent,841662,4 years,0,7,7,167442,0,,0,125666,18376,715
3344,Rent,,1 year,0,12,10.3,407616,0,,0,211565,19199,
3345,Home Mortgage,843106,9 years,0,7,24.7,197516,0,,0,79819,9555,719
3346,Own Home,,3 years,0,11,11.2,183458,0,,0,69065,13679,
3347,Rent,750348,3 years,0,8,11.9,95524,1,,0,26315,12318,681
3348,Home Mortgage,2256516,10+ years,0,12,26.4,1176032,0,,0,741437,59234,718
3349,Rent,815803,< 1 year,0,7,10.5,526570,0,,0,261041,11489,660
3350,Home Mortgage,2005336,10+ years,0,16,19.5,2233836,0,,0,1051422,31367,703
3351,Home Mortgage,2226192,8 years,0,14,23.3,792836,0,,,625157,23746,674
3352,Home Mortgage,2374525,10+ years,0,9,17.5,2526018,0,,0,1893597,26911,725
3353,Rent,639255,2 years,0,6,11.8,97922,0,,0,62320,2227,649
3354,Rent,848844,9 years,0,14,16.7,3160036,0,,0,461225,21928,747
3355,Home Mortgage,,6 years,0,13,16.5,638704,0,,0,424745,28795,
3356,Rent,790172,8 years,0,13,15.2,839014,0,,0,302879,23376,721
3357,Rent,,6 years,0,5,14.6,378928,0,,0,289294,7163,
3358,Rent,856140,6 years,0,15,16.5,480194,0,,0,282416,12914,7370
3359,Own Home,529663,10+ years,0,13,26,354838,1,,1,116451,14301,722
3360,Home Mortgage,905787,10+ years,0,9,26,310684,0,,0,166896,22720,741
3361,Rent,1451942,2 years,0,15,9.4,513480,0,,0,284696,27708,653
3362,Rent,640414,10+ years,0,12,13.9,357764,1,,0,77862,7365,724
3363,Rent,837843,7 years,0,10,17.4,194062,0,,0,139612,19270,713
3364,Home Mortgage,1430605,4 years,0,7,16.6,321420,0,,0,105203,11922,744
3365,Rent,1206348,< 1 year,0,12,16.2,498366,0,,0,258685,25736,702
3366,Rent,886578,5 years,0,6,8.6,216502,0,,0,81339,2468,703
3367,Home Mortgage,,10+ years,0,13,12.1,353562,0,,0,187169,46157,
3368,Rent,805030,9 years,0,14,11.8,197428,0,,0,126692,15430,736
3369,Rent,1197361,4 years,0,10,18.6,990616,0,,0,106951,17062,742
3370,Rent,,10+ years,0,11,11.6,1222034,0,,0,282853,15195,
3371,Home Mortgage,1356790,10+ years,0,18,14.4,1095820,0,,0,417354,23405,6320
3372,Rent,835620,2 years,0,10,12.8,60764,0,,0,48051,3071,671
3373,Rent,1320025,10+ years,0,11,13.1,313170,0,,0,26771,8943,740
3374,Rent,,2 years,0,5,16.1,142494,0,,0,72846,6337,
3375,Home Mortgage,1485800,10+ years,0,8,18,530508,0,,0,267121,7701,734
3376,Home Mortgage,1167569,2 years,0,19,14.6,486904,1,,0,67279,28022,730
3377,Own Home,662815,7 years,0,12,12.7,400906,0,,0,102828,5910,727
3378,Own Home,1503128,< 1 year,0,4,14,84810,0,,0,66367,15157,671
3379,Home Mortgage,875748,6 years,0,10,9.7,785466,0,,0,311372,22404,6690
3380,Home Mortgage,468749,4 years,0,6,10.2,246026,0,,0,164464,4805,741
3381,Rent,897598,10+ years,0,7,16.6,163702,0,,0,108300,11669,717
3382,Rent,534565,< 1 year,0,7,10.7,259270,0,,0,220115,6891,674
3383,Rent,,7 years,0,14,13,568084,0,,0,53960,15234,
3384,Rent,1791358,10+ years,0,25,10.1,1492612,0,,0,697395,20451,749
3385,Home Mortgage,1147524,< 1 year,0,16,11.4,433752,0,,0,143488,27732,738
3386,Home Mortgage,1477345,10+ years,0,6,16.9,217580,0,,0,134368,18959,672
3387,Home Mortgage,1414550,5 years,0,6,21.4,118668,0,,0,8911,28173,685
3388,Home Mortgage,2237592,2 years,0,11,16.8,267564,0,,0,143735,16502,746
3389,Home Mortgage,2871375,3 years,2,14,13.5,787072,2,,0,382698,14046,675
3390,Home Mortgage,1723471,6 years,0,12,16.5,478192,0,,0,279604,10757,715
3391,Rent,,3 years,0,5,15.6,478368,0,,0,7847,420,
3392,Home Mortgage,933926,< 1 year,0,9,18.1,799348,0,,0,287869,6958,742
3393,Rent,1779977,< 1 year,0,12,12.5,687236,0,,0,198835,32929,749
3394,Home Mortgage,1426007,2 years,0,8,21.5,1032988,0,,0,572736,14498,746
3395,Own Home,621870,1 year,0,6,12.1,197956,1,,1,58805,8706,730
3396,Own Home,1007760,10+ years,0,6,17.4,145926,1,,1,47880,12177,735
3397,Rent,529872,10+ years,0,6,15.2,157586,0,,0,120859,12982,726
3398,Rent,,< 1 year,0,20,11,663520,0,,0,400558,12326,
3399,Own Home,5712540,10+ years,0,6,17.3,3957998,0,,0,1842449,43177,732
3400,Rent,668667,2 years,0,11,12.2,794376,0,,0,638704,11478,705
3401,Rent,326154,6 years,0,2,19.1,0,0,,,0,1245,712
3402,Rent,527212,10+ years,0,7,5.2,100342,0,,0,34409,10588,682
3403,Home Mortgage,,3 years,0,11,21.7,546832,0,,0,238963,20508,
3404,Home Mortgage,1683799,10+ years,0,6,12.4,605484,0,,0,494152,13835,743
3405,Home Mortgage,2135353,10+ years,0,12,26.8,499004,0,,0,345610,20998,720
3406,Rent,1587944,1 year,0,24,14.1,1160720,1,,1,184452,14424,727
3407,Rent,1263576,9 years,0,12,25,2219844,0,,0,354673,14784,749
3408,Rent,1260327,< 1 year,0,15,11.8,628364,0,,0,417867,12393,719
3409,Rent,1374840,10+ years,0,7,14.8,528220,0,,0,331208,18068,656
3410,Rent,,1 year,0,13,16.7,710600,0,,0,208658,13052,
3411,Home Mortgage,1710855,10+ years,0,10,23.6,2390322,0,,0,1213853,19390,726
3412,Home Mortgage,1543560,,0,2,16.5,0,0,,0,0,373,657
3413,Home Mortgage,1496896,10+ years,0,11,28.5,1023858,0,,0,461567,22703,708
3414,Home Mortgage,1676655,10+ years,0,14,22.2,280192,0,,0,105507,17326,671
3415,Rent,,8 years,0,14,19.5,1254352,0,,0,705242,39905,
3416,Home Mortgage,,10+ years,0,6,12.5,365948,0,,0,156446,15064,
3417,Rent,667660,< 1 year,0,10,11.4,258280,0,,0,129371,13743,748
3418,Rent,1000559,< 1 year,0,9,9.5,67738,0,,0,43814,18594,695
3419,Rent,744876,6 years,0,7,16.7,237094,0,,0,138016,8380,712
3420,Home Mortgage,767904,9 years,0,3,19.2,40040,0,,0,24510,9887,740
3421,Rent,676913,4 years,0,32,14.8,459316,1,,1,93214,11789,733
3422,Home Mortgage,621053,1 year,0,9,9.1,191818,0,,0,128060,14957,726
3423,Rent,,5 years,0,8,12.6,283228,0,,0,153368,22007,
3424,Home Mortgage,1385917,7 years,0,11,32.3,236192,0,,0,179702,36034,710
3425,Rent,1424297,5 years,0,8,15,92554,0,,0,17993,21958,721
3426,Own Home,3514145,10+ years,0,13,23.4,750332,0,,0,69977,32506,743
3427,Home Mortgage,,5 years,0,10,10.1,254078,0,,0,184547,19401,
3428,Home Mortgage,779418,,0,8,34.8,242968,1,,1,114361,11107,668
3429,Home Mortgage,1508087,8 years,0,16,33,783684,0,,0,556339,30413,736
3430,Rent,,10+ years,0,25,26,588610,0,,0,306033,20466,
3431,Rent,819603,2 years,0,4,11.6,103950,0,,0,87172,7445,722
3432,Rent,,10+ years,0,7,15,272228,0,,0,164578,16005,
3433,Rent,1184783,< 1 year,0,11,10,694848,0,,0,546079,22610,731
3434,Rent,1004872,3 years,0,3,15,274780,0,,0,19228,11472,625
3435,Rent,1231561,10+ years,5,9,16,518892,5,,0,163571,17242,708
3436,Home Mortgage,2208389,1 year,0,11,43,901912,0,,0,378556,41223,744
3437,Home Mortgage,1329069,4 years,1,11,27.6,362164,2,,0,47538,19050,704
3438,Own Home,613016,10+ years,0,7,13.5,227062,0,,0,3534,12618,739
3439,Rent,809419,5 years,0,13,14.4,694056,0,,0,429172,17874,737
3440,Rent,1032004,7 years,0,4,20,468006,0,,0,354065,20124,705
3441,Rent,,10+ years,0,14,21.5,608190,0,,0,291517,33549,
3442,Home Mortgage,1334351,3 years,0,8,28,1757558,0,,0,347605,20816,751
3443,Home Mortgage,853632,5 years,0,6,17.1,136972,0,,0,62339,10457,741
3444,Home Mortgage,,7 years,0,12,17.6,441958,0,,0,126711,14992,
3445,Home Mortgage,,3 years,2,11,15.4,338756,2,,0,206549,39491,
3446,Home Mortgage,6611810,10+ years,0,13,37.6,1387320,0,,0,788386,36475,748
3447,Home Mortgage,656564,2 years,0,9,15.6,521532,0,,0,339606,15374,731
3448,Home Mortgage,1881342,5 years,0,13,22.6,200090,0,,0,53922,9799,715
3449,Home Mortgage,,10+ years,0,9,23.8,244310,0,,0,143051,4708,
3450,Rent,1012871,1 year,0,20,10,162844,0,,0,138814,15531,709
3451,Own Home,1142622,< 1 year,0,10,11.4,107910,0,,0,28994,16473,747
3452,Home Mortgage,1430643,1 year,0,8,23,1514040,0,,0,1179425,14068,737
3453,Home Mortgage,3792020,10+ years,0,16,25,857978,0,,0,584630,72996,723
3454,Own Home,1161546,10+ years,0,19,24,853314,0,,0,535040,20424,672
3455,Rent,1836597,4 years,0,8,26.8,1010922,0,,0,613776,16897,749
3456,Own Home,667109,4 years,0,4,10.9,53614,0,,0,43947,8211,718
3457,Rent,1115224,7 years,0,13,12.9,367334,0,,0,200488,19331,740
3458,Rent,,10+ years,0,21,17.2,1523324,0,,0,657799,24607,
3459,Own Home,544293,3 years,0,3,16.5,519068,0,,0,56487,1705,731
3460,Home Mortgage,2618618,10+ years,0,10,19.9,173030,0,,0,105944,24877,747
3461,Rent,528789,2 years,0,8,8,452848,0,,0,192033,8240,720
3462,Home Mortgage,1546847,10+ years,0,11,20.6,1503898,0,,0,332500,18163,736
3463,Home Mortgage,,5 years,0,17,8.7,852896,0,,0,115634,11234,
3464,Home Mortgage,1337847,10+ years,0,14,15.6,384912,0,,0,272916,28987,704
3465,Rent,1584961,< 1 year,0,8,7.5,495132,0,,0,102638,1598,737
3466,Home Mortgage,,6 years,0,17,17,226028,0,,0,74176,16976,
3467,Home Mortgage,2468119,2 years,0,8,13.6,837606,0,,0,577980,19210,702
3468,Home Mortgage,3141593,8 years,1,9,19.2,866646,1,,0,615239,24897,721
3469,Home Mortgage,1308321,10+ years,0,4,21.8,670736,0,,0,470934,13301,748
3470,Rent,1015189,6 years,0,4,7.3,342650,0,,0,155059,11759,723
3471,Rent,815385,10+ years,0,11,21.7,396880,0,,0,280041,18210,684
3472,Home Mortgage,471105,< 1 year,0,8,11.3,126456,1,,1,41838,4044,658
3473,Home Mortgage,,8 years,0,12,22,931458,0,,0,403826,26498,
3474,Rent,513095,10+ years,0,4,13.2,143022,0,,0,113639,10775,727
3475,Home Mortgage,1177411,10+ years,0,38,10.3,225390,0,,0,113278,3984,589
3476,Rent,760988,< 1 year,0,14,18.5,235906,0,,0,17518,11161,750
3477,Home Mortgage,804916,7 years,0,13,34.4,587818,0,,0,308142,6775,740
3478,Own Home,3051552,10+ years,0,21,28.4,1447006,1,,1,871036,41196,710
3479,Home Mortgage,2032392,10+ years,0,16,30.6,905960,0,,0,309833,25743,745
3480,Home Mortgage,1532920,10+ years,0,13,17.5,861586,0,,0,462080,23249,730
3481,Rent,1639054,3 years,0,4,9.1,140514,0,,0,64448,12853,733
3482,Home Mortgage,,10+ years,0,15,23.6,223454,1,,1,117135,30904,
3483,Home Mortgage,1367772,10+ years,0,14,18.8,876062,1,,0,385871,37386,678
3484,Rent,377074,< 1 year,0,2,14.5,87340,0,,0,72941,1942,710
3485,Rent,1258769,< 1 year,0,15,4.8,505670,0,,0,89528,20035,733
3486,Home Mortgage,1785753,2 years,0,5,21.8,539132,0,,0,422313,17560,743
3487,Rent,1216000,3 years,0,10,11,742764,0,,0,94297,4276,742
3488,Home Mortgage,635094,,0,10,26.8,457292,1,,1,177707,15613,711
3489,Home Mortgage,,1 year,0,10,22,865106,0,,0,489383,31105,
3490,Rent,2032468,3 years,0,7,12.1,681604,0,,0,119491,2625,738
3491,Home Mortgage,2764918,4 years,0,8,17.5,293568,0,,0,247703,19124,590
3492,Rent,972192,4 years,0,7,15.6,377608,0,,0,207423,6368,739
3493,Home Mortgage,,10+ years,0,18,37.1,686136,0,,0,278502,22672,
3494,Home Mortgage,1132571,10+ years,0,7,17,92422,0,,0,72884,9155,714
3495,Rent,443023,10+ years,0,10,10.3,200750,1,,1,131955,11703,708
3496,Rent,233567,1 year,0,7,11.7,0,0,,,0,0,746
3497,Rent,1050757,5 years,0,4,11,99506,0,,0,83961,21278,711
3498,Rent,750956,3 years,0,11,18,217558,1,,1,121182,9837,689
3499,Own Home,2291400,2 years,0,16,22.4,1415326,1,,1,584269,27306,667
3500,Rent,1297814,5 years,0,7,14.5,124410,0,,0,57057,13195,692
3501,Home Mortgage,1724193,10+ years,0,12,21.9,385968,0,,0,270674,30030,617
3502,Home Mortgage,,10+ years,0,9,13.6,710908,0,,0,200146,11415,
3503,Home Mortgage,1349418,10+ years,0,5,21.6,366234,0,,0,256196,7343,743
3504,Rent,640737,3 years,0,11,18.3,810392,0,,0,193876,10999,707
3505,Own Home,865089,< 1 year,0,10,9.5,330088,0,,0,66709,13207,728
3506,Rent,744496,10+ years,0,9,19.4,721886,0,,0,162089,8500,728
3507,Own Home,1037267,10+ years,0,14,16,664400,0,,0,230660,29303,750
3508,Own Home,601369,10+ years,0,8,17.2,228470,1,,0,87400,7066,720
3509,Home Mortgage,1050016,10+ years,0,7,28.5,291676,0,,0,246373,19425,7130
3510,Rent,527478,10+ years,0,9,13.4,265826,0,,0,55328,5626,740
3511,Home Mortgage,1030275,10+ years,0,5,16.5,134508,0,,0,75848,14338,695
3512,Rent,913178,5 years,0,29,19,636526,0,,0,501885,16513,672
3513,Home Mortgage,1901102,9 years,0,9,23,296560,0,,0,247418,26299,741
3514,Rent,199690,,0,8,21,84304,0,,0,53580,5109,643
3515,Rent,594510,6 years,0,17,28.5,698456,0,,0,177346,7728,701
3516,Rent,1415291,10+ years,0,6,29.1,190630,1,,1,49552,10898,718
3517,Home Mortgage,1451011,3 years,0,11,16.4,804936,0,,0,387220,18839,649
3518,Home Mortgage,1452227,5 years,0,9,16.8,1027246,0,,0,415207,22146,729
3519,Home Mortgage,1570312,10+ years,0,14,37.7,869132,0,,0,532190,21461,720
3520,Own Home,684646,10+ years,0,17,18.2,1042624,0,,0,264727,14948,7450
3521,Home Mortgage,2362175,10+ years,0,6,25.7,1217832,0,,0,662625,14488,745
3522,Rent,1405202,10+ years,0,13,18.9,381590,0,,0,268261,16394,708
3523,Home Mortgage,1447800,,0,8,33.7,2952158,0,,0,1443069,17374,750
3524,Home Mortgage,864120,10+ years,0,7,22.5,367004,0,,0,59280,18579,739
3525,Own Home,1619047,5 years,0,6,21.5,509234,0,,0,285418,10632,662
3526,Own Home,1214746,10+ years,0,17,23.8,1299408,0,,0,571216,15690,724
3527,Home Mortgage,2476175,10+ years,0,7,19.7,108086,2,,2,54701,3528,717
3528,Rent,,3 years,0,16,16.8,566852,0,,0,380893,15359,
3529,Rent,799520,6 years,0,14,22.4,403062,1,,1,155610,16057,714
3530,Home Mortgage,,10+ years,0,8,23,473594,0,,0,273220,7975,
3531,Rent,2094389,3 years,0,5,18.3,410080,0,,0,343178,13841,745
3532,Rent,1567215,2 years,0,19,17.7,601062,0,,0,397613,36830,717
3533,Rent,601996,1 year,0,12,10.2,409222,0,,0,173888,8980,713
3534,Home Mortgage,648166,7 years,0,22,9.7,232518,0,,0,180937,12855,708
3535,Rent,580545,10+ years,0,6,18.2,443696,0,,0,201571,4567,740
3536,Rent,2548603,1 year,0,22,20.8,1321056,0,,0,676552,55220,723
3537,Home Mortgage,1985823,10+ years,0,11,29.4,790636,0,,0,281333,13504,711
3538,Rent,616265,,0,9,45.5,382954,0,,0,61180,2753,7460
3539,Rent,,< 1 year,0,13,15.8,0,2,,0,0,6130,
3540,Rent,1475160,8 years,0,9,41,571560,0,,0,345534,20529,739
3541,Home Mortgage,2615844,10+ years,0,14,21.9,2871902,0,,0,1904864,53843,736
3542,Home Mortgage,784966,3 years,0,8,28.2,279510,0,,0,141702,12298,738
3543,Rent,,2 years,0,10,13.6,558558,0,,0,194408,21955,
3544,Rent,1115946,10+ years,0,6,17.1,162382,0,,0,112461,11624,7330
3545,Rent,532741,1 year,0,7,16.9,229130,0,,0,115767,13230,713
3546,Own Home,831155,< 1 year,0,6,12.7,185900,0,,0,111587,17731,742
3547,Rent,2387293,< 1 year,0,7,22,482438,0,,0,273334,27653,744
3548,Home Mortgage,628748,10+ years,0,5,20.3,52976,0,,0,36081,4192,730
3549,Own Home,1038939,5 years,0,14,9.4,1908654,0,,0,684076,19653,715
3550,Home Mortgage,6495720,3 years,0,9,23.4,1130030,0,,0,775865,56296,748
3551,Own Home,,10+ years,0,9,19.8,963028,0,,0,19969,2510,
3552,Home Mortgage,,5 years,0,7,19.1,319418,0,,0,191995,9016,
3553,Home Mortgage,3853580,10+ years,0,4,19.8,234190,0,,0,198208,6808,736
3554,Have Mortgage,970425,,0,14,25.9,332926,0,,0,150081,9785,690
3555,Own Home,864557,6 years,0,4,14.7,196592,0,,0,150252,4380,730
3556,Home Mortgage,1689917,10+ years,0,12,16,183018,1,,1,37449,8351,709
